Rank,Name,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,2006,41.49,29.02,3.77,8.46,82.74
2,Super Mario Bros.,1985,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,2008,15.85,12.88,3.79,3.31,35.82
4,Wii Sports Resort,2009,15.75,11.01,3.28,2.96,33
5,Pokemon Red/Pokemon Blue,1996,11.27,8.89,10.22,1,31.37
6,Tetris,1989,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros.,2006,11.38,9.23,6.5,2.9,30.01
8,Wii Play,2006,14.03,9.2,2.93,2.85,29.02
9,New Super Mario Bros. Wii,2009,14.59,7.06,4.7,2.26,28.62
10,Duck Hunt,1984,26.93,0.63,0.28,0.47,28.31
11,Nintendogs,2005,9.07,11,1.93,2.75,24.76
12,Mario Kart DS,2005,9.81,7.57,4.13,1.92,23.42
13,Pokemon Gold/Pokemon Silver,1999,9,6.18,7.2,0.71,23.1
14,Wii Fit,2007,8.94,8.03,3.6,2.15,22.72
15,Wii Fit Plus,2009,9.09,8.59,2.53,1.79,22
16,Kinect Adventures!,2010,14.97,4.94,0.24,1.67,21.82
17,Grand Theft Auto V,2013,7.01,9.27,0.97,4.14,21.4
18,Grand Theft Auto: San Andreas,2004,9.43,0.4,0.41,10.57,20.81
19,Super Mario World,1990,12.78,3.75,3.54,0.55,20.61
20,Brain Age: Train Your Brain in Minutes a Day,2005,4.75,9.26,4.16,2.05,20.22
21,Pokemon Diamond/Pokemon Pearl,2006,6.42,4.52,6.04,1.37,18.36
22,Super Mario Land,1989,10.83,2.71,4.18,0.42,18.14
23,Super Mario Bros. 3,1988,9.54,3.44,3.84,0.46,17.28
